num_traces,guessing_entropy,success_rate
449,146.16,0.0
450,145.41,0.0
451,145.07,0.0
452,145.25,0.0
453,145.42,0.0
454,145.77,0.0
455,145.5,0.0
456,144.96,0.0
457,145.35,0.0
458,145.53,0.0
459,145.92,0.0
460,145.41,0.0
461,145.14,0.0
462,145.64,0.0
463,144.59,0.0
464,144.9,0.0
465,144.72,0.0
466,145.05,0.0
467,144.5,0.0
468,144.43,0.0
469,144.41,0.0
470,143.87,0.0
471,144.6,0.0
472,144.06,0.0
473,143.46,0.0
474,143.44,0.0
475,143.6,0.0
476,144.38,0.0
477,144.2,0.0
478,145.25,0.0
479,144.99,0.0
480,145.08,0.0
481,145.3,0.0
482,145.66,0.0
483,145.89,0.0
484,145.99,0.0
485,145.85,0.0
486,145.79,0.0
487,145.42,0.0
488,145.78,0.0
489,145.93,0.0
490,145.59,0.0
491,145.55,0.0
492,145.87,0.0
493,146.6,0.0
494,146.27,0.0
495,146.43,0.0
496,146.75,0.0
497,146.16,0.0
498,145.81,0.0
499,145.2,0.0
500,145.91,0.0
501,145.93,0.0
502,145.99,0.0
503,145.72,0.0
504,145.34,0.0
505,144.67,0.0
506,145.27,0.0
507,145.88,0.0
508,145.97,0.0
509,145.8,0.0
510,146.31,0.0
511,146.06,0.0
512,145.76,0.0
513,145.93,0.0
514,146.48,0.0
515,146.94,0.0
516,147.14,0.0
517,146.59,0.0
518,146.45,0.0
519,146.71,0.0
520,147.15,0.0
521,147.01,0.0
522,147.41,0.0
523,146.45,0.0
524,146.77,0.0
525,147.03,0.0
526,146.38,0.0
527,147.25,0.0
528,147.14,0.0
529,146.83,0.0
530,146.79,0.0
531,147.41,0.0
532,147.56,0.0
533,147.38,0.0
534,147.46,0.0
535,147.73,0.0
536,148.14,0.0
537,147.7,0.0
538,147.4,0.0
539,147.1,0.0
540,147.23,0.0
541,147.44,0.0
542,147.33,0.0
543,147.46,0.0
544,147.61,0.0
545,147.64,0.0
546,147.8,0.0
547,147.92,0.0
548,148.07,0.0
549,148.33,0.0
550,148.42,0.0
551,148.44,0.0
552,148.34,0.0
553,148.11,0.0
554,147.64,0.0
555,147.92,0.0
556,147.92,0.0
557,148.15,0.0
558,147.94,0.0
559,147.91,0.0
560,147.57,0.0
561,148.16,0.0
562,148.57,0.0
563,148.83,0.0
564,149.36,0.0
565,149.1,0.0
566,148.83,0.0
567,149.18,0.0
568,148.36,0.0
569,148.52,0.0
570,148.37,0.0
571,149.23,0.0
572,149.36,0.0
573,149.23,0.0
574,149.48,0.0
575,148.78,0.0
576,149.12,0.0
577,148.93,0.0
578,149.18,0.0
579,149.53,0.0
580,149.28,0.0
581,148.94,0.0
582,148.7,0.0
583,148.78,0.0
584,149.05,0.0
585,148.76,0.0
586,148.93,0.0
587,148.88,0.0
588,148.76,0.0
589,149.18,0.0
590,149.17,0.0
591,149.15,0.0
592,149.24,0.0
593,149.81,0.0
594,149.78,0.0
595,149.29,0.0
596,149.35,0.0
597,149.56,0.0
598,149.54,0.0
599,149.65,0.0
600,149.66,0.0
601,149.62,0.0
602,149.7,0.0
603,149.46,0.0
